month,group,symptom,population_pct,within_group_pct
1,nausea_vomiting,nausea_vomiting,7.5673572609668325,100.0
1,nausea_vomiting,fatigue,3.910125474175664,51.670951156812336
1,nausea_vomiting,headaches,1.848069253963622,24.42159383033419
1,nausea_vomiting,sleep_problems,0.6614142593132963,8.740359897172237
1,nausea_vomiting,depression,0.7003209804493726,9.254498714652955
1,no_nausea_vomiting,no_nausea_vomiting,92.43264273903317,100.0
1,no_nausea_vomiting,fatigue,19.3366404046299,20.9197095654004
1,no_nausea_vomiting,headaches,19.686800894854585,21.298537304009262
1,no_nausea_vomiting,sleep_problems,2.0036961385079275,2.167736504261812
1,no_nausea_vomiting,depression,5.758194728139286,6.229611701567926
1,hospitalization,hospitalization,0.01945336056803813,100.0
1,hospitalization,fatigue,<10,<10
1,hospitalization,headaches,<10,<10
1,hospitalization,sleep_problems,<10,<10
1,hospitalization,depression,<10,<10
2,nausea_vomiting,nausea_vomiting,24.530687676296083,100.0
2,nausea_vomiting,fatigue,15.873942223519114,64.71054718477399
2,nausea_vomiting,headaches,6.283435463476315,25.614591593973035
2,nausea_vomiting,sleep_problems,2.266316506176442,9.238699444885013
2,nausea_vomiting,depression,2.0426028596440036,8.326724821570181
2,no_nausea_vomiting,no_nausea_vomiting,75.46931232370392,100.0
2,no_nausea_vomiting,fatigue,38.35230035988717,50.81840443356103
2,no_nausea_vomiting,headaches,15.251434685341895,20.208789792499033
2,no_nausea_vomiting,sleep_problems,3.987938916447816,5.284186106457018
2,no_nausea_vomiting,depression,4.4159128489446555,5.851269493491429
2,hospitalization,hospitalization,0.40852057192880076,100.0
2,hospitalization,fatigue,0.16535356482832408,40.476190476190474
2,hospitalization,headaches,0.08754012255617158,21.428571428571427
2,hospitalization,sleep_problems,0.048633401420095326,11.904761904761903
2,hospitalization,depression,0.048633401420095326,11.904761904761903
3,nausea_vomiting,nausea_vomiting,26.553837175372045,100.0
3,nausea_vomiting,fatigue,17.099503939305517,64.3956043956044
3,nausea_vomiting,headaches,6.7405894368252115,25.384615384615383
3,nausea_vomiting,sleep_problems,3.316797976850501,12.49084249084249
3,nausea_vomiting,depression,2.1690497033362512,8.168498168498168
3,no_nausea_vomiting,no_nausea_vomiting,73.44616282462796,100.0
3,no_nausea_vomiting,fatigue,35.765003404338096,48.695537014964906
3,no_nausea_vomiting,headaches,14.794280711992997,20.143027413587607
3,no_nausea_vomiting,sleep_problems,5.213500632234219,7.098397563236658
3,no_nausea_vomiting,depression,4.289466005252407,5.8402860548271756
3,hospitalization,hospitalization,0.5641474564731057,100.0
3,hospitalization,fatigue,0.22371364653243847,39.6551724137931
3,hospitalization,headaches,0.08754012255617158,15.517241379310345
3,hospitalization,sleep_problems,0.07781344227215252,13.793103448275861
3,hospitalization,depression,0.05836008170411438,10.344827586206897
4,nausea_vomiting,nausea_vomiting,8.997179262717635,100.0
4,nausea_vomiting,fatigue,4.270012644684369,47.45945945945946
4,nausea_vomiting,headaches,1.342281879194631,14.91891891891892
4,nausea_vomiting,sleep_problems,0.8948545861297539,9.945945945945946
4,nausea_vomiting,depression,0.8073144635735824,8.972972972972974
4,no_nausea_vomiting,no_nausea_vomiting,91.00282073728236,100.0
4,no_nausea_vomiting,fatigue,23.28567259994164,25.587858058999576
4,no_nausea_vomiting,headaches,7.38255033557047,8.1124412141941
4,no_nausea_vomiting,sleep_problems,8.676198813345005,9.533988884138521
4,no_nausea_vomiting,depression,1.225561715786402,1.3467293715262931
4,hospitalization,hospitalization,0.29180040852057193,100.0
4,hospitalization,fatigue,0.07781344227215252,26.666666666666668
4,hospitalization,headaches,0.03890672113607626,13.333333333333334
4,hospitalization,sleep_problems,0.05836008170411438,20.0
4,hospitalization,depression,0.02918004085205719,10.0
5,nausea_vomiting,nausea_vomiting,5.155140550530104,100.0
5,nausea_vomiting,fatigue,1.8675226145316601,36.22641509433962
5,nausea_vomiting,headaches,0.8656745452776967,16.79245283018868
5,nausea_vomiting,sleep_problems,,
5,nausea_vomiting,depression,0.457153973348896,8.867924528301886
5,no_nausea_vomiting,no_nausea_vomiting,94.8448594494699,100.0
5,no_nausea_vomiting,fatigue,15.358428168466101,16.193210952722797
5,no_nausea_vomiting,headaches,8.189864799144052,8.635011793662189
5,no_nausea_vomiting,sleep_problems,,
5,no_nausea_vomiting,depression,1.371461920046688,1.4460055378935492
5,hospitalization,hospitalization,0.08754012255617158,100.0
5,hospitalization,fatigue,0.01945336056803813,22.22222222222222
5,hospitalization,headaches,0.01945336056803813,22.22222222222222
5,hospitalization,sleep_problems,,
5,hospitalization,depression,<10,<10
6,nausea_vomiting,nausea_vomiting,2.6262036766851473,100.0
6,nausea_vomiting,fatigue,0.8267678241416205,31.48148148148148
6,nausea_vomiting,headaches,0.457153973348896,17.40740740740741
6,nausea_vomiting,sleep_problems,,
6,nausea_vomiting,depression,0.1361735239762669,5.185185185185185
6,no_nausea_vomiting,no_nausea_vomiting,97.37379632331485,100.0
6,no_nausea_vomiting,fatigue,13.520085594786499,13.884726800519429
6,no_nausea_vomiting,headaches,8.043964594883766,8.260912995704725
6,no_nausea_vomiting,sleep_problems,,
6,no_nausea_vomiting,depression,1.6924423694193174,1.7380881030866047
6,hospitalization,hospitalization,0.048633401420095326,100.0
6,hospitalization,fatigue,0.01945336056803813,40.0
6,hospitalization,headaches,<10,<10
6,hospitalization,sleep_problems,,
6,hospitalization,depression,<10,<10
7,nausea_vomiting,nausea_vomiting,1.7897091722595078,100.0
7,nausea_vomiting,fatigue,0.6614142593132963,36.95652173913043
7,nausea_vomiting,headaches,0.33070712965664817,18.478260869565215
7,nausea_vomiting,sleep_problems,,
7,nausea_vomiting,depression,0.11672016340822876,6.521739130434782
7,no_nausea_vomiting,no_nausea_vomiting,98.2102908277405,100.0
7,no_nausea_vomiting,fatigue,16.331096196868007,16.62870159453303
7,no_nausea_vomiting,headaches,8.666472133060985,8.824403288105378
7,no_nausea_vomiting,sleep_problems,,
7,no_nausea_vomiting,depression,2.110689621632137,2.1491532138258886
7,hospitalization,hospitalization,0.048633401420095326,100.0
7,hospitalization,fatigue,0.01945336056803813,40.0
7,hospitalization,headaches,<10,<10
7,hospitalization,sleep_problems,,
7,hospitalization,depression,<10,<10
8,nausea_vomiting,nausea_vomiting,1.4006419608987453,100.0
8,nausea_vomiting,fatigue,0.5252407353370294,37.5
8,nausea_vomiting,headaches,0.24316700710047662,17.36111111111111
8,nausea_vomiting,sleep_problems,,
8,nausea_vomiting,depression,0.07781344227215252,5.555555555555555
8,no_nausea_vomiting,no_nausea_vomiting,98.59935803910126,100.0
8,no_nausea_vomiting,fatigue,15.523781733294426,15.744303048239125
8,no_nausea_vomiting,headaches,6.380702266316505,6.471342606293776
8,no_nausea_vomiting,sleep_problems,,
8,no_nausea_vomiting,depression,1.6146289271471648,1.6375653546414126
8,hospitalization,hospitalization,0.02918004085205719,100.0
8,hospitalization,fatigue,<10,<10
8,hospitalization,headaches,<10,<10
8,hospitalization,sleep_problems,,
8,hospitalization,depression,<10,<10
